71.0,03/07/15 20:28:23
71.0,03/07/15 20:28:43
71.0,03/07/15 20:29:03
70.9,03/07/15 20:29:24
70.9,03/07/15 20:29:44
70.9,03/07/15 20:30:05
70.9,03/07/15 20:30:25
70.9,03/07/15 20:30:46
70.8,03/07/15 20:31:06
70.8,03/07/15 20:31:27
70.8,03/07/15 20:31:47
70.7,03/07/15 20:32:09
70.7,03/07/15 20:32:29
70.6,03/07/15 20:32:50
70.6,03/07/15 20:33:10
70.6,03/07/15 20:33:31
70.5,03/07/15 20:33:51
70.6,03/07/15 20:34:11
70.5,03/07/15 20:34:32
70.5,03/07/15 20:34:52
70.5,03/07/15 20:35:13
70.5,03/07/15 20:35:33
70.5,03/07/15 20:35:55
70.4,03/07/15 20:36:15
70.4,03/07/15 20:36:36
70.4,03/07/15 20:36:56
70.3,03/07/15 20:37:17
70.3,03/07/15 20:37:37
